data,sku,cod_filial,filial,unidade,demanda,faturamento,num_transacoes,clientes_unicos
2024-02-22,9,101032,RUA,KG,2.148,150.15,10,10
2024-02-23,9,101032,RUA,KG,2.636,184.27,14,14
2024-02-24,9,101032,RUA,KG,1.8,125.83,9,9
2024-02-26,9,101032,RUA,KG,0.834,58.29,5,5
2024-03-08,9,101032,RUA,KG,0.256,17.89,1,1
2024-03-20,9,101032,RUA,KG,0.13,9.09,1,1
2024-03-21,9,101032,RUA,KG,1.866,130.51,10,10
2024-03-22,9,101032,RUA,KG,1.174,82.09,4,4
2024-03-23,9,101032,RUA,KG,1.1239999999999999,78.63,8,8
2024-03-25,9,101032,RUA,KG,1.998,139.72,10,10
2024-03-26,9,101032,RUA,KG,1.3559999999999999,94.84,7,7
2024-03-27,9,101032,RUA,KG,1.15,80.42999999999999,6,6
2024-03-28,9,101032,RUA,KG,0.808,56.5,4,4
2024-03-30,9,101032,RUA,KG,1.446,101.14999999999999,8,8
2024-04-01,9,101032,RUA,KG,3.294,230.38,18,18
2024-04-02,9,101032,RUA,KG,2.134,149.24,10,10
2024-04-03,9,101032,RUA,KG,2.384,166.74,11,11
2024-04-04,9,101032,RUA,KG,2.68,187.45,14,14
2024-04-05,9,101032,RUA,KG,2.038,142.54999999999998,14,14
2024-04-06,9,101032,RUA,KG,1.286,89.95,8,8
2024-04-08,9,101032,RUA,KG,2.5660000000000003,179.43,10,10
2024-04-09,9,101032,RUA,KG,2.064,144.35999999999999,11,11
2024-04-10,9,101032,RUA,KG,1.34,93.72,9,9
2024-04-11,9,101032,RUA,KG,1.8,125.89,11,11
2024-04-12,9,101032,RUA,KG,3.491,244.07999999999998,13,13
2024-04-13,9,101032,RUA,KG,0.754,52.74,6,6
2024-04-15,9,101032,RUA,KG,1.882,131.59,6,6
2024-04-16,9,101032,RUA,KG,1.266,88.55,7,7
2024-04-17,9,101032,RUA,KG,2.9699999999999998,206.53,13,13
2024-04-18,9,101032,RUA,KG,2.556,178.79,16,16
2024-04-19,9,101032,RUA,KG,1.496,104.64,9,9
2024-04-20,9,101032,RUA,KG,2.654,185.62,13,13
2024-04-22,9,101032,RUA,KG,1.844,129.19,10,10
2024-04-24,9,101032,RUA,KG,1.138,79.59,7,7
2024-04-25,9,101032,RUA,KG,1.764,123.34,7,7
2024-04-26,9,101032,RUA,KG,1.226,85.75,8,8
2024-04-27,9,101032,RUA,KG,1.11,77.63,7,7
2024-04-29,9,101032,RUA,KG,0.45,31.49,4,4
2024-04-30,9,101032,RUA,KG,2.55,178.76,17,17
2024-05-02,9,101032,RUA,KG,2.49,174.06,11,11
2024-05-03,9,101032,RUA,KG,1.906,133.22,10,10
2024-05-04,9,101032,RUA,KG,1.928,134.77,8,8
2024-05-06,9,101032,RUA,KG,0.264,18.45,2,2
2024-05-07,9,101032,RUA,KG,3.758,262.69,16,16
2024-05-08,9,101032,RUA,KG,1.652,115.47999999999999,11,11
2024-05-09,9,101032,RUA,KG,3.084,215.57999999999998,16,16
2024-05-10,9,101032,RUA,KG,1.666,116.45,10,10
2024-05-11,9,101032,RUA,KG,1.2,83.89,6,6
2024-05-13,9,101032,RUA,KG,1.292,90.31,8,8
2024-05-14,9,101032,RUA,KG,1.534,107.22999999999999,8,8
2024-05-15,9,101032,RUA,KG,2.192,153.21,13,13
2024-05-16,9,101032,RUA,KG,2.9459999999999997,205.91,14,13
2024-05-17,9,101032,RUA,KG,2.822,197.26,13,13
2024-05-18,9,101032,RUA,KG,1.8539999999999999,129.59,8,8
2024-05-20,9,101032,RUA,KG,2.614,182.72,12,12
2024-05-21,9,101032,RUA,KG,0.768,53.68,6,6
2024-05-22,9,101032,RUA,KG,2.43,169.85999999999999,13,13
2024-05-23,9,101032,RUA,KG,1.9529999999999998,136.51,12,12
2024-05-24,9,101032,RUA,KG,2.29,160.07,12,12
2024-05-25,9,101032,RUA,KG,1.79,125.13,11,11
2024-05-27,9,101032,RUA,KG,1.931,134.98,13,13
2024-05-28,9,101032,RUA,KG,1.876,131.14,8,8
2024-05-29,9,101032,RUA,KG,1.65,115.34,11,11
2024-05-31,9,101032,RUA,KG,0.216,15.1,1,1
2024-06-10,9,101032,RUA,KG,0.21,14.68,1,1
2024-06-14,9,101032,RUA,KG,0.998,69.75,7,7
2024-06-15,9,101032,RUA,KG,1.2000000000000002,83.88,7,7
2024-06-17,9,101032,RUA,KG,1.296,90.59,8,8
2024-06-18,9,101032,RUA,KG,3.5140000000000002,245.63,16,16
2024-06-19,9,101032,RUA,KG,1.948,136.16,8,8
2024-06-20,9,101032,RUA,KG,1.488,104.02,10,10
2024-06-21,9,101032,RUA,KG,1.854,129.6,12,12
2024-06-22,9,101032,RUA,KG,2.015,140.85,11,11
2024-06-24,9,101032,RUA,KG,1.583,110.66,9,9
2024-06-25,9,101032,RUA,KG,1.8679999999999999,130.56,12,12
2024-06-26,9,101032,RUA,KG,0.882,61.66,5,5
2024-06-27,9,101032,RUA,KG,2.056,143.72,9,8
2024-06-28,9,101032,RUA,KG,2.344,163.85,14,14
2024-06-29,9,101032,RUA,KG,5.134,358.87,14,14
2024-07-01,9,101032,RUA,KG,1.78,124.42,9,9
2024-07-02,9,101032,RUA,KG,1.374,96.05,10,10
2024-07-03,9,101032,RUA,KG,2.37,165.67000000000002,9,9
2024-07-04,9,101032,RUA,KG,3.352,234.32,11,11
2024-07-05,9,101032,RUA,KG,2.672,186.77,14,14
2024-07-06,9,101032,RUA,KG,1.674,117.00999999999999,7,7
2024-07-08,9,101032,RUA,KG,1.986,138.82999999999998,7,7
2024-07-09,9,101032,RUA,KG,2.61,182.45000000000002,11,11
2024-07-10,9,101032,RUA,KG,2.55,178.25,10,10
2024-07-11,9,101032,RUA,KG,2.87,200.63,11,11
2024-07-12,9,101032,RUA,KG,2.393,167.28,11,11
2024-07-13,9,101032,RUA,KG,0.314,21.95,2,2
2024-07-15,9,101032,RUA,KG,5.386,376.5,23,23
2024-07-16,9,101032,RUA,KG,2.52,176.16,14,14
2024-07-17,9,101032,RUA,KG,2.106,147.2,11,11
2024-07-18,9,101032,RUA,KG,2.568,179.51,11,11
2024-07-19,9,101032,RUA,KG,1.732,121.07,11,11
2024-07-20,9,101032,RUA,KG,2.044,142.88,10,10
2024-07-22,9,101032,RUA,KG,3.4720000000000004,242.71,8,8
2024-07-23,9,101032,RUA,KG,1.9220000000000002,134.35,10,10
2024-07-24,9,101032,RUA,KG,4.004,279.88,16,16
2024-07-25,9,101032,RUA,KG,1.576,110.15,10,10
2024-07-26,9,101032,RUA,KG,3.258,227.73,17,17
2024-07-27,9,101032,RUA,KG,0.684,47.82,5,5
2024-07-29,9,101032,RUA,KG,2.104,147.07,13,13
2024-07-30,9,101032,RUA,KG,0.796,55.66,7,7
2024-07-31,9,101032,RUA,KG,4.2,293.61,20,20
2024-08-01,9,101032,RUA,KG,3.356,234.6,13,13
2024-08-02,9,101032,RUA,KG,4.208,294.15999999999997,19,19
2024-08-03,9,101032,RUA,KG,1.838,128.47,11,11
2024-08-05,9,101032,RUA,KG,3.2199999999999998,225.07999999999998,18,18
2024-08-06,9,101032,RUA,KG,3.267,228.38,15,15
2024-08-07,9,101032,RUA,KG,3.651,255.23,21,21
2024-08-08,9,101032,RUA,KG,2.539,177.47,12,12
2024-08-09,9,101032,RUA,KG,1.75,122.32,10,10
2024-08-10,9,101032,RUA,KG,1.678,117.3,11,11
2024-08-12,9,101032,RUA,KG,2.23,155.87,11,11
2024-08-13,9,101032,RUA,KG,2.634,184.12,13,13
2024-08-14,9,101032,RUA,KG,2.706,189.16,13,13
2024-08-15,9,101032,RUA,KG,3.124,218.37,11,11
2024-08-16,9,101032,RUA,KG,3.4459999999999997,240.89,16,16
2024-08-17,9,101032,RUA,KG,2.394,167.35999999999999,12,12
2024-08-19,9,101032,RUA,KG,3.122,218.5,14,14
2024-08-20,9,101032,RUA,KG,3.737,261.52,17,17
2024-08-21,9,101032,RUA,KG,1.76,123.03,8,8
2024-08-22,9,101032,RUA,KG,2.641,184.61,12,12
2024-08-23,9,101032,RUA,KG,4.265,298.12,16,16
2024-08-24,9,101032,RUA,KG,3.198,223.28,14,14
2024-08-26,9,101032,RUA,KG,2.48,173.36,11,11
2024-08-27,9,101032,RUA,KG,3.039,212.43,12,12
2024-08-28,9,101032,RUA,KG,2.191,153.15,10,10
2024-08-29,9,101032,RUA,KG,3.323,231.57,17,17
2024-08-30,9,101032,RUA,KG,2.601,181.83,13,13
2024-08-31,9,101032,RUA,KG,1.796,125.53,8,8
2024-09-02,9,101032,RUA,KG,3.582,250.57999999999998,15,15
2024-09-03,9,101032,RUA,KG,2.392,167.36,10,10
2024-09-04,9,101032,RUA,KG,1.734,121.31,8,8
2024-09-05,9,101032,RUA,KG,2.93,205.0,13,13
2024-09-06,9,101032,RUA,KG,2.704,189.25,14,14
2024-09-09,9,101032,RUA,KG,1.3699999999999999,95.94,8,8
2024-09-10,9,101032,RUA,KG,4.84,338.63,21,21
2024-09-11,9,101032,RUA,KG,2.362,165.32,13,13
2024-09-12,9,101032,RUA,KG,1.7,119.06,11,11
2024-09-13,9,101032,RUA,KG,1.588,111.11,8,8
2024-09-14,9,101032,RUA,KG,2.052,143.55,6,6
2024-09-16,9,101032,RUA,KG,2.404,168.41,12,12
2024-09-17,9,101032,RUA,KG,1.654,115.71,9,9
2024-09-18,9,101032,RUA,KG,2.512,175.82999999999998,14,14
2024-09-19,9,101032,RUA,KG,3.684,258.1,24,24
2024-09-20,9,101032,RUA,KG,4.212,375.10999999999996,13,13
2024-09-21,9,101032,RUA,KG,1.966,176.73,9,9
2024-09-23,9,101032,RUA,KG,3.15,283.18,17,17
2024-09-24,9,101032,RUA,KG,2.018,181.42000000000002,10,10
2024-09-25,9,101032,RUA,KG,2.724,244.88,9,9
2024-09-26,9,101032,RUA,KG,2.2,197.76999999999998,8,8
2024-09-27,9,101032,RUA,KG,1.698,152.65,10,10
2024-09-28,9,101032,RUA,KG,1.782,160.2,9,9
2024-09-30,9,101032,RUA,KG,2.712,243.81,14,14
2024-10-01,9,101032,RUA,KG,2.492,224.03,10,10
2024-10-02,9,101032,RUA,KG,2.2800000000000002,204.99,13,13
2024-10-03,9,101032,RUA,KG,0.6719999999999999,60.42,4,4
2024-10-04,9,101032,RUA,KG,1.208,108.6,8,8
2024-10-05,9,101032,RUA,KG,1.806,162.35999999999999,8,8
2024-10-07,9,101032,RUA,KG,1.46,131.26,10,10
2024-10-08,9,101032,RUA,KG,2.5340000000000003,227.79999999999998,10,10
2024-10-09,9,101032,RUA,KG,2.26,203.16,16,16
2024-10-10,9,101032,RUA,KG,1.376,121.71,8,8
2024-10-11,9,101032,RUA,KG,1.285,115.53,8,8
2024-10-12,9,101032,RUA,KG,0.652,58.61,4,4
2024-10-14,9,101032,RUA,KG,1.3559999999999999,121.89999999999999,6,6
2024-10-15,9,101032,RUA,KG,1.33,119.57,9,9
2024-10-16,9,101032,RUA,KG,2.692,242.0,13,13
2024-10-17,9,101032,RUA,KG,1.4,125.86,7,7
2024-10-18,9,101032,RUA,KG,0.8740000000000001,78.57,5,5
2024-10-19,9,101032,RUA,KG,0.6769999999999999,60.87,4,4
2024-10-22,9,101032,RUA,KG,2.804,252.09,13,13
2024-10-23,9,101032,RUA,KG,2.422,217.75,12,12
2024-10-24,9,101032,RUA,KG,1.27,114.18,6,6
2024-10-25,9,101032,RUA,KG,0.892,80.19,8,8
2024-10-26,9,101032,RUA,KG,0.164,14.74,1,1
2024-10-28,9,101032,RUA,KG,1.988,178.73,8,8
2024-10-29,9,101032,RUA,KG,2.072,186.26,13,13
2024-10-30,9,101032,RUA,KG,1.622,145.82,7,7
2024-10-31,9,101032,RUA,KG,1.62,145.64,9,9
2024-11-01,9,101032,RUA,KG,1.6019999999999999,144.03,8,8
2024-11-02,9,101032,RUA,KG,0.656,58.96,5,5
2024-11-04,9,101032,RUA,KG,1.018,91.52,6,6
2024-11-05,9,101032,RUA,KG,2.092,188.07,9,9
2024-11-07,9,101032,RUA,KG,0.45999999999999996,41.36,3,3
2024-11-08,9,101032,RUA,KG,2.17,184.23000000000002,10,9
2024-11-09,9,101032,RUA,KG,1.316,111.73,4,4
2024-11-11,9,101032,RUA,KG,1.308,111.05,8,8
2024-11-12,9,101032,RUA,KG,1.091,92.63,9,9
2024-11-13,9,101032,RUA,KG,0.43000000000000005,36.5,3,3
2024-11-14,9,101032,RUA,KG,2.184,185.4,14,14
2024-11-16,9,101032,RUA,KG,1.51,128.2,6,6
2024-11-18,9,101032,RUA,KG,1.438,122.09,7,7
2024-11-19,9,101032,RUA,KG,0.53,45.0,3,3
2024-11-21,9,101032,RUA,KG,1.3479999999999999,114.44,8,8
2024-11-22,9,101032,RUA,KG,0.894,75.9,4,4
2024-11-23,9,101032,RUA,KG,1.24,105.28,8,8
2024-11-25,9,101032,RUA,KG,1.934,162.28,10,10
2024-11-26,9,101032,RUA,KG,1.306,110.89,6,6
2024-11-27,9,101032,RUA,KG,2.294,194.77,6,6
2024-11-28,9,101032,RUA,KG,1.194,101.38,7,7
2024-11-29,9,101032,RUA,KG,1.3539999999999999,114.95,6,6
2024-11-30,9,101032,RUA,KG,1.266,107.49000000000001,7,7
2024-01-02,9,101042,SHOPPING,KG,0.258,18.04,1,1
2024-01-03,9,101042,SHOPPING,KG,1.306,91.4,7,7
2024-01-04,9,101042,SHOPPING,KG,1.226,85.81,7,7
2024-01-05,9,101042,SHOPPING,KG,1.592,111.37,6,6
2024-01-06,9,101042,SHOPPING,KG,2.408,168.47,10,10
2024-01-10,9,101042,SHOPPING,KG,0.766,53.56,3,3
2024-01-11,9,101042,SHOPPING,KG,1.323,92.5,6,6
2024-01-12,9,101042,SHOPPING,KG,1.328,92.9,8,8
2024-01-13,9,101042,SHOPPING,KG,0.724,50.66,5,5
2024-01-14,9,101042,SHOPPING,KG,0.204,14.28,1,1
2024-01-15,9,101042,SHOPPING,KG,0.494,34.56999999999999,3,3
2024-01-16,9,101042,SHOPPING,KG,1.462,102.26,5,5
2024-01-17,9,101042,SHOPPING,KG,0.9440000000000001,66.03,6,6
2024-01-18,9,101042,SHOPPING,KG,1.594,111.56,8,8
2024-01-19,9,101042,SHOPPING,KG,1.807,126.44,10,10
2024-01-20,9,101042,SHOPPING,KG,1.216,85.11,9,9
2024-01-21,9,101042,SHOPPING,KG,1.629,113.9,7,7
2024-01-22,9,101042,SHOPPING,KG,0.336,23.52,2,2
2024-01-23,9,101042,SHOPPING,KG,2.454,171.66,13,13
2024-01-24,9,101042,SHOPPING,KG,2.148,151.92,11,11
2024-01-25,9,101042,SHOPPING,KG,2.078,145.36,11,11
2024-01-26,9,101042,SHOPPING,KG,0.46799999999999997,32.72,3,3
2024-01-27,9,101042,SHOPPING,KG,2.774,193.92,10,10
2024-01-28,9,101042,SHOPPING,KG,0.864,60.39,5,5
2024-01-29,9,101042,SHOPPING,KG,3.532,246.87,14,14
2024-01-30,9,101042,SHOPPING,KG,2.104,147.07999999999998,10,10
2024-01-31,9,101042,SHOPPING,KG,1.282,89.62,6,6
2024-02-01,9,101042,SHOPPING,KG,2.504,175.05,14,14
2024-02-02,9,101042,SHOPPING,KG,3.39,236.98,12,12
2024-02-03,9,101042,SHOPPING,KG,3.33,232.78,15,15
2024-02-04,9,101042,SHOPPING,KG,1.152,80.52000000000001,6,6
2024-02-05,9,101042,SHOPPING,KG,1.68,117.43,8,8
2024-02-06,9,101042,SHOPPING,KG,2.036,142.31,13,13
2024-02-07,9,101042,SHOPPING,KG,2.81,196.42,14,14
2024-02-08,9,101042,SHOPPING,KG,3.712,259.49,19,19
2024-02-09,9,101042,SHOPPING,KG,4.308,301.14,21,21
2024-02-10,9,101042,SHOPPING,KG,3.152,220.31,14,14
2024-02-11,9,101042,SHOPPING,KG,1.4020000000000001,98.0,8,8
2024-02-12,9,101042,SHOPPING,KG,3.08,215.3,11,11
2024-02-14,9,101042,SHOPPING,KG,1.862,130.16,13,13
2024-02-18,9,101042,SHOPPING,KG,0.604,42.22,3,3
2024-02-19,9,101042,SHOPPING,KG,1.972,137.84,12,12
2024-02-20,9,101042,SHOPPING,KG,3.072,214.75,17,17
2024-02-21,9,101042,SHOPPING,KG,4.24,296.38,17,17
2024-02-22,9,101042,SHOPPING,KG,2.682,187.49,15,15
2024-02-23,9,101042,SHOPPING,KG,2.438,170.41,15,15
2024-02-24,9,101042,SHOPPING,KG,1.766,123.44,8,8
2024-02-25,9,101042,SHOPPING,KG,1.808,126.37,10,10
2024-02-26,9,101042,SHOPPING,KG,1.32,92.28,6,6
2024-02-27,9,101042,SHOPPING,KG,1.316,91.99000000000001,8,8
2024-02-28,9,101042,SHOPPING,KG,2.87,200.62,18,18
2024-02-29,9,101042,SHOPPING,KG,2.8360000000000003,198.23000000000002,11,11
2024-03-03,9,101042,SHOPPING,KG,0.234,16.36,1,1
2024-03-23,9,101042,SHOPPING,KG,0.11,7.69,1,1
2024-03-24,9,101042,SHOPPING,KG,0.682,47.68,2,2
2024-03-25,9,101042,SHOPPING,KG,0.771,53.93,5,5
2024-03-26,9,101042,SHOPPING,KG,1.1179999999999999,78.18,6,6
2024-03-27,9,101042,SHOPPING,KG,2.094,146.43,10,10
2024-03-28,9,101042,SHOPPING,KG,1.938,136.14,10,10
2024-03-29,9,101042,SHOPPING,KG,1.046,73.15,7,7
2024-03-30,9,101042,SHOPPING,KG,1.036,72.45,5,5
2024-03-31,9,101042,SHOPPING,KG,1.353,94.61,6,6
2024-04-01,9,101042,SHOPPING,KG,1.1320000000000001,79.16,8,8
2024-04-02,9,101042,SHOPPING,KG,0.98,68.55,6,6
2024-04-03,9,101042,SHOPPING,KG,2.678,187.27,12,12
2024-04-04,9,101042,SHOPPING,KG,3.823,267.34,19,19
2024-04-05,9,101042,SHOPPING,KG,3.236,226.28,13,13
2024-04-06,9,101042,SHOPPING,KG,1.61,112.59,8,8
2024-04-07,9,101042,SHOPPING,KG,0.928,64.91,5,5
2024-04-08,9,101042,SHOPPING,KG,1.8639999999999999,130.35,9,9
2024-04-09,9,101042,SHOPPING,KG,2.852,199.45,14,14
2024-04-10,9,101042,SHOPPING,KG,2.0589999999999997,143.98,9,9
2024-04-11,9,101042,SHOPPING,KG,1.688,118.02000000000001,6,6
2024-04-12,9,101042,SHOPPING,KG,1.07,74.84,7,7
2024-04-13,9,101042,SHOPPING,KG,2.632,184.07999999999998,12,12
2024-04-14,9,101042,SHOPPING,KG,1.528,106.85,7,7
2024-04-15,9,101042,SHOPPING,KG,0.388,27.15,3,3
2024-04-16,9,101042,SHOPPING,KG,3.0620000000000003,214.13,15,15
2024-04-17,9,101042,SHOPPING,KG,0.81,56.650000000000006,4,4
2024-04-18,9,101042,SHOPPING,KG,3.136,219.36,21,21
2024-04-19,9,101042,SHOPPING,KG,4.812,336.52,20,20
2024-04-20,9,101042,SHOPPING,KG,3.698,258.6,14,14
2024-04-21,9,101042,SHOPPING,KG,1.24,86.51,7,7
2024-04-22,9,101042,SHOPPING,KG,1.224,85.6,7,7
2024-04-23,9,101042,SHOPPING,KG,0.494,34.56,3,3
2024-04-24,9,101042,SHOPPING,KG,2.024,141.54,9,9
2024-04-25,9,101042,SHOPPING,KG,1.888,132.03,9,9
2024-04-26,9,101042,SHOPPING,KG,3.6340000000000003,254.12,20,20
2024-04-27,9,101042,SHOPPING,KG,3.726,260.56,15,15
2024-04-28,9,101042,SHOPPING,KG,0.658,46.03,5,4
2024-04-29,9,101042,SHOPPING,KG,2.788,194.99,13,13
2024-04-30,9,101042,SHOPPING,KG,4.07,284.67,21,21
2024-05-01,9,101042,SHOPPING,KG,1.2469999999999999,87.18,7,7
2024-05-02,9,101042,SHOPPING,KG,1.798,125.68,8,8
2024-05-03,9,101042,SHOPPING,KG,2.5380000000000003,177.42,15,15
2024-05-04,9,101042,SHOPPING,KG,3.157,220.69,16,16
2024-05-05,9,101042,SHOPPING,KG,0.72,50.33,5,5
2024-05-06,9,101042,SHOPPING,KG,0.784,54.809999999999995,5,5
2024-05-07,9,101042,SHOPPING,KG,3.679,257.17,16,16
2024-05-08,9,101042,SHOPPING,KG,2.468,172.52,15,15
2024-05-09,9,101042,SHOPPING,KG,3.7,258.63,16,15
2024-05-10,9,101042,SHOPPING,KG,4.654,325.31,22,22
2024-05-11,9,101042,SHOPPING,KG,3.336,233.2,17,17
2024-05-12,9,101042,SHOPPING,KG,1.016,71.02,5,5
2024-05-13,9,101042,SHOPPING,KG,2.924,204.39,16,15
2024-05-14,9,101042,SHOPPING,KG,1.7930000000000001,125.34,12,12
2024-05-15,9,101042,SHOPPING,KG,5.036,352.01,29,29
2024-05-16,9,101042,SHOPPING,KG,3.426,239.49,18,18
2024-05-17,9,101042,SHOPPING,KG,2.92,204.12,13,12
2024-05-18,9,101042,SHOPPING,KG,4.0280000000000005,281.57,19,19
2024-05-19,9,101042,SHOPPING,KG,2.872,200.76,12,12
2024-05-20,9,101042,SHOPPING,KG,1.976,138.12,11,11
2024-05-21,9,101042,SHOPPING,KG,2.582,180.5,12,12
2024-05-22,9,101042,SHOPPING,KG,2.691,188.09,15,15
2024-05-23,9,101042,SHOPPING,KG,2.976,208.02,15,15
2024-05-24,9,101042,SHOPPING,KG,3.128,218.49,18,18
2024-05-25,9,101042,SHOPPING,KG,5.314,369.61,26,26
2024-05-26,9,101042,SHOPPING,KG,1.544,107.93,7,7
2024-05-27,9,101042,SHOPPING,KG,3.08,215.29,13,13
2024-05-28,9,101042,SHOPPING,KG,2.4979999999999998,174.62,13,13
2024-05-29,9,101042,SHOPPING,KG,0.532,37.19,3,3
2024-06-03,9,101042,SHOPPING,KG,0.222,15.52,1,1
2024-06-07,9,101042,SHOPPING,KG,1.4260000000000002,99.67999999999999,3,3
2024-07-12,9,101042,SHOPPING,KG,1.768,123.58,11,11
2024-07-13,9,101042,SHOPPING,KG,2.278,159.24,13,13
2024-07-14,9,101042,SHOPPING,KG,1.757,122.82000000000001,9,9
2024-07-15,9,101042,SHOPPING,KG,1.62,113.24,11,11
2024-07-16,9,101042,SHOPPING,KG,1.9989999999999999,139.73,12,12
2024-07-17,9,101042,SHOPPING,KG,3.394,237.25,12,12
2024-07-18,9,101042,SHOPPING,KG,2.542,177.69,13,13
2024-07-19,9,101042,SHOPPING,KG,1.872,130.85,10,10
2024-07-20,9,101042,SHOPPING,KG,0.328,22.93,2,2
2024-07-22,9,101042,SHOPPING,KG,0.154,10.76,1,1
2024-07-26,9,101042,SHOPPING,KG,0.41600000000000004,29.08,2,2
2024-07-27,9,101042,SHOPPING,KG,1.51,105.56,8,8
2024-07-28,9,101042,SHOPPING,KG,2.566,179.38,15,15
2024-07-29,9,101042,SHOPPING,KG,1.794,125.41,8,8
2024-07-30,9,101042,SHOPPING,KG,1.148,80.25,6,6
2024-07-31,9,101042,SHOPPING,KG,2.065,144.35999999999999,8,7
2024-08-01,9,101042,SHOPPING,KG,1.832,128.06,9,9
2024-08-02,9,101042,SHOPPING,KG,0.246,17.2,1,1
2024-08-22,9,101042,SHOPPING,KG,0.219,15.31,1,1
2024-08-24,9,101042,SHOPPING,KG,3.935,274.36,22,22
2024-08-25,9,101042,SHOPPING,KG,2.776,194.04,15,15
2024-08-26,9,101042,SHOPPING,KG,3.168,221.46,16,16
2024-08-27,9,101042,SHOPPING,KG,2.988,208.86,13,13
2024-08-28,9,101042,SHOPPING,KG,2.354,164.54,12,12
2024-08-29,9,101042,SHOPPING,KG,4.14,289.4,19,19
2024-08-30,9,101042,SHOPPING,KG,3.529,246.68,16,16
2024-08-31,9,101042,SHOPPING,KG,3.276,229.0,15,15
2024-09-01,9,101042,SHOPPING,KG,3.858,269.68,21,21
2024-09-02,9,101042,SHOPPING,KG,2.667,186.76,20,20
2024-09-03,9,101042,SHOPPING,KG,2.995,208.70999999999998,17,17
2024-09-04,9,101042,SHOPPING,KG,3.7,258.78,18,18
2024-09-05,9,101042,SHOPPING,KG,1.876,131.28,12,12
2024-09-06,9,101042,SHOPPING,KG,0.048,3.36,1,1
2024-09-14,9,101042,SHOPPING,KG,0.236,16.5,1,1
2024-09-20,9,101042,SHOPPING,KG,2.612,234.83,10,10
2024-09-21,9,101042,SHOPPING,KG,3.414,306.12,16,16
2024-09-22,9,101042,SHOPPING,KG,0.462,41.54,4,4
2024-09-23,9,101042,SHOPPING,KG,1.9180000000000001,172.44,12,12
2024-09-24,9,101042,SHOPPING,KG,2.568,230.88,16,16
2024-09-25,9,101042,SHOPPING,KG,3.184,286.25,16,16
2024-09-26,9,101042,SHOPPING,KG,2.0349999999999997,182.96,10,10
2024-09-27,9,101042,SHOPPING,KG,2.828,254.26,17,17
2024-09-28,9,101042,SHOPPING,KG,5.586,502.17,24,24
2024-09-29,9,101042,SHOPPING,KG,0.9480000000000001,85.23,6,6
2024-09-30,9,101042,SHOPPING,KG,2.634,236.79999999999998,12,12
2024-10-01,9,101042,SHOPPING,KG,1.904,171.18,13,13
2024-10-02,9,101042,SHOPPING,KG,2.494,224.22,15,15
2024-10-03,9,101042,SHOPPING,KG,4.142,372.39,20,20
2024-10-04,9,101042,SHOPPING,KG,3.288,295.59000000000003,20,20
